,DATE,Sales
1,1992-02-01,3458
2,1992-03-01,4002
3,1992-04-01,4564
4,1992-05-01,4221
5,1992-06-01,4529
6,1992-07-01,4466
7,1992-08-01,4137
8,1992-09-01,4126
9,1992-10-01,4259
10,1992-11-01,4240
11,1992-12-01,4936
12,1993-01-01,3031
13,1993-02-01,3261
14,1993-03-01,4160
15,1993-04-01,4377
16,1993-05-01,4307
17,1993-06-01,4696
18,1993-07-01,4458
19,1993-08-01,4457
20,1993-09-01,4364
21,1993-10-01,4236
22,1993-11-01,4500
23,1993-12-01,4974
24,1994-01-01,3075
25,1994-02-01,3377
26,1994-03-01,4443
27,1994-04-01,4261
28,1994-05-01,4460
29,1994-06-01,4985
30,1994-07-01,4324
31,1994-08-01,4719
32,1994-09-01,4374
33,1994-10-01,4248
34,1994-11-01,4784
35,1994-12-01,4971
36,1995-01-01,3370
37,1995-02-01,3484
38,1995-03-01,4269
39,1995-04-01,3994
40,1995-05-01,4715
41,1995-06-01,4974
42,1995-07-01,4223
43,1995-08-01,5000
44,1995-09-01,4235
45,1995-10-01,4554
46,1995-11-01,4851
47,1995-12-01,4826
48,1996-01-01,3699
49,1996-02-01,3983
50,1996-03-01,4262
51,1996-04-01,4619
52,1996-05-01,5219
53,1996-06-01,4836
54,1996-07-01,4941
55,1996-08-01,5062
56,1996-09-01,4365
57,1996-10-01,5012
58,1996-11-01,4850
59,1996-12-01,5097
60,1997-01-01,3758
61,1997-02-01,3825
62,1997-03-01,4454
63,1997-04-01,4635
64,1997-05-01,5210
65,1997-06-01,5057
66,1997-07-01,5231
67,1997-08-01,5034
68,1997-09-01,4970
69,1997-10-01,5342
70,1997-11-01,4831
71,1997-12-01,5965
72,1998-01-01,3796
73,1998-02-01,4019
74,1998-03-01,4898
75,1998-04-01,5090
76,1998-05-01,5237
77,1998-06-01,5447
78,1998-07-01,5435
79,1998-08-01,5107
80,1998-09-01,5515
81,1998-10-01,5583
82,1998-11-01,5346
83,1998-12-01,6286
84,1999-01-01,4032
