,Date,Employees
1,2/1/1990,1074.5
2,3/1/1990,1090.0
3,4/1/1990,1097.4
4,5/1/1990,1108.7
5,6/1/1990,1123.5
6,7/1/1990,1134.2
7,8/1/1990,1137.4
8,9/1/1990,1128.8
9,10/1/1990,1106.8
10,11/1/1990,1104.3
11,12/1/1990,1106.4
12,1/1/1991,1067.0
13,2/1/1991,1082.6
14,3/1/1991,1097.1
15,4/1/1991,1121.9
16,5/1/1991,1138.1
17,6/1/1991,1148.6
18,7/1/1991,1148.2
19,8/1/1991,1151.7
20,9/1/1991,1141.9
21,10/1/1991,1121.4
22,11/1/1991,1119.3
23,12/1/1991,1122.3
24,1/1/1992,1071.5
25,2/1/1992,1083.0
26,3/1/1992,1096.0
27,4/1/1992,1116.0
28,5/1/1992,1126.6
29,6/1/1992,1134.2
30,7/1/1992,1143.7
31,8/1/1992,1144.7
32,9/1/1992,1137.8
33,10/1/1992,1116.3
34,11/1/1992,1112.2
35,12/1/1992,1112.7
36,1/1/1993,1084.1
37,2/1/1993,1092.4
38,3/1/1993,1103.8
39,4/1/1993,1117.0
40,5/1/1993,1136.6
41,6/1/1993,1149.3
42,7/1/1993,1148.2
43,8/1/1993,1153.7
44,9/1/1993,1150.0
45,10/1/1993,1129.3
46,11/1/1993,1123.2
47,12/1/1993,1133.5
48,1/1/1994,1097.9
49,2/1/1994,1112.4
50,3/1/1994,1124.6
51,4/1/1994,1137.5
52,5/1/1994,1155.0
53,6/1/1994,1170.2
54,7/1/1994,1170.2
55,8/1/1994,1174.0
56,9/1/1994,1170.7
57,10/1/1994,1147.0
58,11/1/1994,1145.7
59,12/1/1994,1154.5
60,1/1/1995,1123.9
61,2/1/1995,1140.5
62,3/1/1995,1157.0
63,4/1/1995,1171.5
64,5/1/1995,1193.2
65,6/1/1995,1208.6
66,7/1/1995,1209.6
67,8/1/1995,1217.8
68,9/1/1995,1213.1
69,10/1/1995,1189.6
70,11/1/1995,1192.4
71,12/1/1995,1199.6
72,1/1/1996,1175.2
73,2/1/1996,1194.5
74,3/1/1996,1211.3
75,4/1/1996,1215.3
76,5/1/1996,1238.7
77,6/1/1996,1243.5
78,7/1/1996,1249.0
79,8/1/1996,1255.4
80,9/1/1996,1242.9
81,10/1/1996,1230.9
82,11/1/1996,1230.8
83,12/1/1996,1240.9
84,1/1/1997,1188.8
85,2/1/1997,1205.7
86,3/1/1997,1224.7
87,4/1/1997,1241.2
88,5/1/1997,1259.9
89,6/1/1997,1277.4
90,7/1/1997,1259.1
91,8/1/1997,1268.1
92,9/1/1997,1254.7
93,10/1/1997,1230.6
94,11/1/1997,1227.8
95,12/1/1997,1230.1
96,1/1/1998,1206.5
97,2/1/1998,1227.8
98,3/1/1998,1242.1
99,4/1/1998,1257.0
100,5/1/1998,1271.1
101,6/1/1998,1288.4
102,7/1/1998,1293.8
103,8/1/1998,1298.6
104,9/1/1998,1291.2
105,10/1/1998,1266.3
106,11/1/1998,1265.9
107,12/1/1998,1279.1
108,1/1/1999,1236.1
109,2/1/1999,1256.3
110,3/1/1999,1276.3
111,4/1/1999,1288.6
112,5/1/1999,1308.2
113,6/1/1999,1321.4
114,7/1/1999,1330.9
115,8/1/1999,1331.4
116,9/1/1999,1326.4
117,10/1/1999,1308.6
118,11/1/1999,1305.2
119,12/1/1999,1315.0
120,1/1/2000,1268.1
121,2/1/2000,1290.5
122,3/1/2000,1312.5
123,4/1/2000,1321.1
124,5/1/2000,1340.5
125,6/1/2000,1362.4
126,7/1/2000,1369.5
127,8/1/2000,1376.1
128,9/1/2000,1369.1
129,10/1/2000,1341.9
130,11/1/2000,1337.2
131,12/1/2000,1348.4
132,1/1/2001,1314.7
133,2/1/2001,1334.8
134,3/1/2001,1353.7
135,4/1/2001,1361.6
136,5/1/2001,1378.9
137,6/1/2001,1395.3
138,7/1/2001,1397.9
139,8/1/2001,1402.2
140,9/1/2001,1378.1
141,10/1/2001,1362.4
142,11/1/2001,1353.8
143,12/1/2001,1358.9
144,1/1/2002,1319.2
145,2/1/2002,1336.4
146,3/1/2002,1356.4
147,4/1/2002,1383.2
148,5/1/2002,1404.1
149,6/1/2002,1420.0
150,7/1/2002,1410.9
151,8/1/2002,1418.0
152,9/1/2002,1403.7
153,10/1/2002,1385.0
154,11/1/2002,1376.0
155,12/1/2002,1386.4
156,1/1/2003,1346.5
157,2/1/2003,1363.6
158,3/1/2003,1377.2
159,4/1/2003,1389.6
160,5/1/2003,1405.1
161,6/1/2003,1426.5
162,7/1/2003,1426.1
163,8/1/2003,1433.3
164,9/1/2003,1419.6
165,10/1/2003,1407.6
166,11/1/2003,1402.5
167,12/1/2003,1412.4
168,1/1/2004,1381.7
169,2/1/2004,1401.4
170,3/1/2004,1418.6
171,4/1/2004,1426.0
172,5/1/2004,1447.8
173,6/1/2004,1461.3
174,7/1/2004,1471.7
175,8/1/2004,1474.8
176,9/1/2004,1462.0
177,10/1/2004,1445.0
178,11/1/2004,1439.1
179,12/1/2004,1450.9
180,1/1/2005,1408.9
181,2/1/2005,1424.7
182,3/1/2005,1446.5
183,4/1/2005,1468.7
184,5/1/2005,1483.0
185,6/1/2005,1502.4
186,7/1/2005,1505.3
187,8/1/2005,1510.0
188,9/1/2005,1497.8
189,10/1/2005,1483.3
190,11/1/2005,1481.1
191,12/1/2005,1493.2
192,1/1/2006,1451.3
193,2/1/2006,1473.1
194,3/1/2006,1492.1
195,4/1/2006,1506.7
196,5/1/2006,1526.8
197,6/1/2006,1548.3
198,7/1/2006,1548.3
199,8/1/2006,1556.2
200,9/1/2006,1540.4
201,10/1/2006,1526.9
202,11/1/2006,1523.6
203,12/1/2006,1535.7
204,1/1/2007,1496.7
205,2/1/2007,1513.9
206,3/1/2007,1534.5
207,4/1/2007,1548.0
208,5/1/2007,1569.3
209,6/1/2007,1590.4
210,7/1/2007,1593.2
211,8/1/2007,1595.1
212,9/1/2007,1579.6
213,10/1/2007,1567.1
214,11/1/2007,1562.4
215,12/1/2007,1571.3
216,1/1/2008,1529.5
217,2/1/2008,1545.2
218,3/1/2008,1562.8
219,4/1/2008,1578.1
220,5/1/2008,1592.6
221,6/1/2008,1609.4
222,7/1/2008,1611.4
223,8/1/2008,1607.2
224,9/1/2008,1585.6
225,10/1/2008,1559.0
226,11/1/2008,1543.6
227,12/1/2008,1544.0
228,1/1/2009,1489.8
229,2/1/2009,1491.4
230,3/1/2009,1494.2
231,4/1/2009,1504.5
232,5/1/2009,1522.2
233,6/1/2009,1529.1
234,7/1/2009,1526.0
235,8/1/2009,1522.5
236,9/1/2009,1504.5
237,10/1/2009,1491.2
238,11/1/2009,1476.7
239,12/1/2009,1482.0
240,1/1/2010,1440.3
241,2/1/2010,1449.5
242,3/1/2010,1462.4
243,4/1/2010,1496.2
244,5/1/2010,1509.4
245,6/1/2010,1526.2
246,7/1/2010,1533.0
247,8/1/2010,1535.1
248,9/1/2010,1522.1
249,10/1/2010,1514.9
250,11/1/2010,1503.9
251,12/1/2010,1516.0
252,1/1/2011,1475.9
253,2/1/2011,1490.2
254,3/1/2011,1505.6
255,4/1/2011,1523.6
256,5/1/2011,1540.0
257,6/1/2011,1553.4
258,7/1/2011,1564.2
259,8/1/2011,1568.9
260,9/1/2011,1560.2
261,10/1/2011,1545.8
262,11/1/2011,1543.4
263,12/1/2011,1545.4
264,1/1/2012,1518.9
265,2/1/2012,1536.9
266,3/1/2012,1556.7
267,4/1/2012,1582.0
268,5/1/2012,1605.0
269,6/1/2012,1625.5
270,7/1/2012,1632.4
271,8/1/2012,1641.2
272,9/1/2012,1626.0
