variance,skewness,curtosis,entropy,class
-2.9672,-13.2869,13.4727,-2.6271,1
0.57461,10.1105,-1.6917,-4.3922,0
0.63655,5.2022,-5.2159,-6.1211,1
0.049175,6.1437,1.7828,-0.72113,0
2.4226,-4.5752,5.947,0.21507,0
0.3292,-4.4552,4.5718,-0.9888,0
0.67886,4.1199,-4.569,-4.1414,1
-1.8076,-8.8131,8.7086,-0.21682,1
2.7365,-5.0325,6.6608,-0.57889,0
0.83625,1.1071,-2.4706,-0.062945,1
3.2692,3.4184,0.20706,-0.066824,0
3.3577,-4.3062,6.0241,0.18274,0
2.0922,-6.81,8.4636,-0.60216,0
-1.6176,1.0926,-0.35502,-0.59958,1
-0.014902,-1.0243,-0.94024,0.64955,1
3.5594,1.3078,1.291,1.6556,0
3.6922,-3.9585,4.3439,1.3517,0
4.7432,2.1086,0.1368,1.6543,0
2.2546,8.0992,-0.24877,-3.2698,0
-1.8391,-9.0883,9.2416,-0.10432,1
4.1927,-3.2674,2.5839,0.21766,0
-2.9915,-6.6258,8.6521,1.8198,1
-3.8858,-12.8461,12.7957,-3.1353,1
-3.9934,5.8333,0.54723,-4.9379,1
-2.9786,2.3445,0.52667,-0.40173,1
5.2418,10.5388,-4.1174,-4.2797,0
-2.1059,1.1815,-0.53324,-0.82716,1
0.4283,-0.94981,-1.0731,0.3211,1
-2.0659,1.0512,-0.46298,-1.0974,1
3.6244,1.4609,1.3501,1.9284,0
-1.5951,-6.572,4.7689,-0.94354,1
-1.8969,-6.7893,5.2761,-0.32544,1
-0.278,8.1881,-3.1338,-2.5276,0
3.5761,9.7753,-3.9795,-3.4638,0
-1.8356,-6.7562,5.0585,-0.55044,1
-0.52645,-0.24832,-0.45613,0.41938,1
-2.2482,3.0915,-2.3969,-2.6711,1
4.0329,0.23175,0.89082,1.1823,0
4.0215,-2.1914,2.4648,1.1409,0
-0.9607,2.6963,-3.1226,-1.3121,1
3.5458,9.3718,-4.0351,-3.9564,0
4.0026,-3.5943,3.5573,0.26809,0
-0.55355,-7.9233,6.7156,0.74394,1
-1.8411,10.8306,2.769,-3.0901,0
-3.1366,0.42212,2.6225,-0.064238,1
-0.41965,2.9094,-1.7859,-2.2069,1
-6.5773,6.8017,0.85483,-7.5344,1
-1.7104,-4.778,6.2109,0.3974,1
-0.2951,9.0489,-0.52725,-2.0789,0
-0.91718,9.9884,1.1804,-5.2263,0
4.6361,-2.6611,2.8358,1.1991,0
1.941,0.46351,4.6472,1.0879,0
2.229,9.6325,-3.1123,-2.7164,0
-1.9555,0.20692,1.2473,-0.3707,1
-2.6479,10.1374,-1.331,-5.4707,0
-0.4294,-0.14693,0.044265,-0.15605,1
-2.0662,0.16967,-1.0054,-0.82975,1
-1.7344,2.0175,7.7618,0.93532,0
1.5631,0.89599,-1.9702,0.65472,1
-2.2918,-7.257,7.9597,0.9211,1
3.6702,2.9942,0.85141,0.30688,0
4.6464,10.5326,-4.5852,-4.206,0
3.4985,3.1639,0.22677,-0.1651,0
3.946,6.8514,-1.5443,-0.5582,0
3.0329,2.2948,2.1135,0.35084,0
-0.24811,-0.17797,4.9068,0.15429,0
2.8261,9.4007,-3.3034,-1.0509,0
-1.1391,1.8127,6.9144,0.70127,0
-2.799,1.9679,-0.42357,-2.1125,1
0.96574,8.393,-1.361,-1.4659,0
1.7257,-4.4697,8.2219,-1.8073,0
0.22432,-0.52147,-0.40386,1.2017,1
3.4642,10.6878,-3.4071,-4.109,0
-2.3361,11.9604,3.0835,-5.4435,0
5.681,7.795,-2.6848,-0.92544,0
1.1811,8.3847,-2.0567,-0.90345,0
-1.3,10.2678,-2.953,-5.8638,0
0.54777,10.3754,-1.5435,-4.1633,0
-1.4781,0.14277,-1.1622,-0.48579,1
-6.2815,6.6651,0.52581,-7.0107,1
-1.1804,11.5093,0.15565,-6.8194,0
3.9262,6.0299,-2.0156,-0.065531,0
1.6032,-4.7863,8.5193,-2.1203,0
-0.95923,-6.7128,4.9857,0.32886,1
-2.41,3.7433,-0.40215,-1.2953,1
6.8248,5.2187,-2.5425,0.5461,0
4.616,10.1788,-4.2185,-4.4245,0
-3.3884,-8.215,10.3315,0.98187,1
-2.6989,12.1984,0.67661,-8.5482,0
0.64215,3.1287,4.2933,0.64696,0
3.1088,3.1122,0.80857,0.4336,0
1.2999,2.5762,2.0107,-0.18967,0
-5.873,9.1752,-0.27448,-6.0422,1
3.4669,6.87,-1.0568,-0.73147,0
3.1836,7.2321,-1.0713,-2.5909,0
-5.8818,7.6584,0.5558,-2.9155,1
0.39012,-0.14279,-0.031994,0.35084,1
1.4896,3.4288,-4.0309,-1.4259,1
2.2034,5.9947,0.53009,0.84998,0
0.58982,7.4266,1.2353,-2.9595,0
0.25035,9.3262,-3.6873,-6.2543,0
2.9695,5.6222,0.27561,-1.1556,0
-2.3983,12.606,2.9464,-5.7888,0
2.8672,10.0008,-3.2049,-3.1095,0
-2.5754,-5.6574,6.103,0.65214,1
-2.456,-0.24418,1.4041,-0.45863,1
1.2572,4.8731,-5.2861,-5.8741,1
-0.55008,2.8659,-1.6488,-2.4319,1
-0.10234,1.8189,-2.2169,-0.56725,1
-2.0545,-10.8679,9.4926,-1.4116,1
-0.2062,9.2207,-3.7044,-6.8103,0
1.9157,6.0816,0.23705,-2.0116,0
4.9362,7.6046,-2.3429,-0.85302,0
-2.6406,-4.4159,5.983,-0.13924,1
-1.3612,10.694,1.7022,-2.9026,0
-3.8952,3.8157,-0.31304,-3.8194,1
0.96414,5.616,2.2138,-0.12501,0
3.7321,-3.884,3.3577,-0.0060486,0
0.50813,0.47799,-1.9804,0.57714,1
-4.1958,-8.1819,12.1291,-1.6017,1
5.4021,3.1039,-1.1536,1.5651,0
-3.9411,-12.8792,13.0597,-3.3125,1
3.4776,8.811,-3.1886,-0.92285,0
-1.7582,2.7397,-2.5323,-2.234,1
4.0962,10.1891,-3.9323,-4.1827,0
4.0422,-4.391,4.7466,1.137,0
-5.2049,7.259,0.070827,-7.3004,1
2.0421,1.2436,4.2171,0.90429,0
0.3292,-4.4552,4.5718,-0.9888,0
3.5189,6.332,-1.7791,-0.020273,0
0.3798,0.7098,0.7572,-0.4444,0
-2.7264,3.9213,-0.49212,-3.6371,1
-6.651,6.7934,0.68604,-7.5887,1
-2.0754,1.2767,-0.64206,-1.2642,1
1.208,4.0744,-4.7635,-2.6129,1
-2.0962,-7.1059,6.6188,-0.33708,1
3.966,3.9213,0.70574,0.33662,0
-2.286,-5.4484,5.8039,0.88231,1
-2.8957,-12.0205,11.9149,-2.7552,1
3.404,8.7261,-2.9915,-0.57242,0
-2.2625,-0.099335,2.8127,0.48662,1
0.11806,0.39108,-0.98223,0.42843,1
-3.0866,-6.6362,10.5405,-0.89182,1
-1.3389,1.552,7.0806,1.031,0
1.4479,-4.8794,8.3428,-2.1086,0
5.2868,3.257,-1.3721,1.1668,0
1.1472,3.5985,1.9387,-0.43406,0
3.8244,-3.1081,2.4537,0.52024,0
3.9362,10.1622,-3.8235,-4.0172,0
2.5367,2.599,2.0938,0.20085,0
-0.69572,8.6165,1.8419,-4.3289,0
-6.3364,9.2848,0.014275,-6.7844,1
4.6054,-4.0765,2.7587,0.31981,0
-2.7611,-10.5099,9.0239,-1.9547,1
-1.3887,-4.8773,6.4774,0.34179,1
3.0948,8.7324,-2.9007,-0.96682,0
-0.56877,1.4174,-1.4252,-1.1246,1
1.3451,0.23589,-1.8785,1.3258,1
-0.2062,9.2207,-3.7044,-6.8103,0
-2.0441,1.2271,0.18564,-1.091,1
1.3419,-4.4221,8.09,-1.7349,0
-2.7028,1.6327,0.83598,-0.091393,1
-0.70346,2.957,-3.5947,-3.1457,1
-0.95403,1.9824,-2.3163,-1.1957,1
-0.8734,-0.033118,-0.20165,0.55774,1
-1.6677,-7.1535,7.8929,0.96765,1
5.1321,-0.031048,0.32616,1.1151,0
-3.6227,3.9958,-0.35845,-3.9047,1
-3.5801,-12.9309,13.1779,-2.5677,1
-2.4941,3.5447,-1.3721,-2.8483,1
-1.4233,-0.98912,2.3586,0.39481,1
0.72252,-0.053811,5.6703,-1.3509,0
-0.91318,-2.0113,-0.19565,0.066365,1
3.5251,0.7201,1.6928,0.64438,0
-3.3924,3.3564,-0.72004,-3.5233,1
-4.1479,7.1225,-0.083404,-6.4172,1
-2.8833,1.7713,0.68946,-0.4638,1
5.7227,5.8312,-2.4097,-0.24527,0
-1.2943,2.6735,-0.84085,-2.0323,1
1.0987,0.6394,5.989,-0.58277,0
-4.6765,-5.6636,10.969,-0.33449,1
1.8967,-2.5163,2.8093,-0.79742,0
-0.53966,7.3273,0.46583,-1.4543,0
-2.2677,3.2964,-2.2563,-2.4642,1
0.88298,0.66009,6.0096,-0.43277,0
-3.9698,3.6812,-0.60008,-4.0133,1
4.1736,3.3336,-1.4244,0.60429,0
-2.0066,-6.719,9.0162,0.099985,1
-3.0731,-0.53181,2.3877,0.77627,1
-0.59587,2.4811,-2.8673,-0.89828,1
0.59823,3.5012,-3.9795,-1.7841,1
4.9342,2.4107,-0.17594,1.6245,0
0.30081,0.17381,-1.7542,0.48921,1
-2.4198,-0.24418,0.70146,0.41809,1
-4.4996,3.4288,0.56265,-1.1672,1
0.27331,4.8773,-4.9194,-5.8198,1
0.55939,-0.3104,0.18307,0.44653,1
-0.071503,3.7412,-4.5415,-4.2526,1
