location,indicator,subject,measure,frequency,time,value
CHE,MEATCONSUMP,SHEEP,KG_CAP,A,1995,1.55688664098772
WLD,MEATCONSUMP,PIG,KG_CAP,A,2019,11.9786817118672
PAK,MEATCONSUMP,SHEEP,KG_CAP,A,2000,2.94580904518532
ETH,MEATCONSUMP,BEEF,THND_TONNE,A,2023,434.305364044064
KOR,MEATCONSUMP,PIG,THND_TONNE,A,2021,2058.38204403966
CHN,MEATCONSUMP,PIG,KG_CAP,A,2026,31.6310902497832
COL,MEATCONSUMP,BEEF,KG_CAP,A,2016,11.3511467115339
BRICS,MEATCONSUMP,POULTRY,KG_CAP,A,2020,11.2161759837166
CHL,MEATCONSUMP,SHEEP,KG_CAP,A,1996,0.708299880878561
BRICS,MEATCONSUMP,BEEF,THND_TONNE,A,2003,18149.8164150304
EGY,MEATCONSUMP,POULTRY,THND_TONNE,A,2015,1244.80613027344
RUS,MEATCONSUMP,POULTRY,THND_TONNE,A,2011,3658.81680614763
USA,MEATCONSUMP,BEEF,KG_CAP,A,1991,30.4078398157954
MYS,MEATCONSUMP,BEEF,THND_TONNE,A,2004,187.34710012207
KOR,MEATCONSUMP,BEEF,KG_CAP,A,2024,11.475768407985
PHL,MEATCONSUMP,PIG,THND_TONNE,A,2028,2416.90018689132
JPN,MEATCONSUMP,PIG,THND_TONNE,A,2011,2404.85395671429
EU27,MEATCONSUMP,PIG,THND_TONNE,A,1991,0.0001
COL,MEATCONSUMP,BEEF,THND_TONNE,A,2011,816.987099511719
ARG,MEATCONSUMP,BEEF,THND_TONNE,A,2021,2587.83792425979
CHL,MEATCONSUMP,SHEEP,KG_CAP,A,2023,0.413927052412702
EGY,MEATCONSUMP,POULTRY,KG_CAP,A,2011,9.57290043691213
ETH,MEATCONSUMP,BEEF,THND_TONNE,A,2008,380.049111230469
PRY,MEATCONSUMP,POULTRY,KG_CAP,A,1998,6.57912515184105
IND,MEATCONSUMP,POULTRY,THND_TONNE,A,2001,962.9170921875
JPN,MEATCONSUMP,BEEF,THND_TONNE,A,2007,1171.13981428571
PHL,MEATCONSUMP,SHEEP,KG_CAP,A,2026,0.535469655300193
GBR,MEATCONSUMP,POULTRY,THND_TONNE,A,2019,2154.58361515769
SAU,MEATCONSUMP,POULTRY,KG_CAP,A,1999,33.8370932103366
CHN,MEATCONSUMP,POULTRY,THND_TONNE,A,1999,11270.5925072266
THA,MEATCONSUMP,POULTRY,THND_TONNE,A,2022,648.368093273848
PER,MEATCONSUMP,PIG,THND_TONNE,A,2008,116.883095605469
WLD,MEATCONSUMP,SHEEP,THND_TONNE,A,2026,16592.1535019306
SAU,MEATCONSUMP,BEEF,THND_TONNE,A,2025,227.439119015766
CHN,MEATCONSUMP,POULTRY,KG_CAP,A,2009,10.7029008192312
KOR,MEATCONSUMP,PIG,THND_TONNE,A,2004,1198.86011604963
PRY,MEATCONSUMP,PIG,THND_TONNE,A,2007,147.84710012207
AUS,MEATCONSUMP,PIG,KG_CAP,A,2004,17.7354781381531
KAZ,MEATCONSUMP,SHEEP,KG_CAP,A,1992,12.4355727147433
