,id,date,store_nbr,family,sales,onpromotion
1045458,1045458,2014-08-11,42.0,HOME CARE,0.0,0.0
1045459,1045459,2014-08-11,42.0,LADIESWEAR,0.0,0.0
1045460,1045460,2014-08-11,42.0,LAWN AND GARDEN,0.0,0.0
1045461,1045461,2014-08-11,42.0,LINGERIE,0.0,0.0
1045462,"1045462,2014-08-11,42,""LIQUOR,WINE,BEER"",0.0,0",,,,,
1045463,1045463,2014-08-11,42.0,MAGAZINES,0.0,0.0
1045464,1045464,2014-08-11,42.0,MEATS,0.0,0.0
1045465,1045465,2014-08-11,42.0,PERSONAL CARE,0.0,0.0
1045466,1045466,2014-08-11,42.0,PET SUPPLIES,0.0,0.0
1045467,1045467,2014-08-11,42.0,PLAYERS AND ELECTRONICS,0.0,0.0
1045468,1045468,2014-08-11,42.0,POULTRY,0.0,0.0
1045469,1045469,2014-08-11,42.0,PREPARED FOODS,0.0,0.0
1045470,1045470,2014-08-11,42.0,PRODUCE,0.0,0.0
1045471,1045471,2014-08-11,42.0,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
1045472,1045472,2014-08-11,42.0,SEAFOOD,0.0,0.0
1045473,1045473,2014-08-11,43.0,AUTOMOTIVE,3.0,0.0
1045474,1045474,2014-08-11,43.0,BABY CARE,0.0,0.0
1045475,1045475,2014-08-11,43.0,BEAUTY,1.0,0.0
1045476,1045476,2014-08-11,43.0,BEVERAGES,2225.0,0.0
1045477,1045477,2014-08-11,43.0,BOOKS,0.0,0.0
1045478,1045478,2014-08-11,43.0,BREAD/BAKERY,332.0,0.0
1045479,1045479,2014-08-11,43.0,CELEBRATION,0.0,0.0
1045480,1045480,2014-08-11,43.0,CLEANING,818.0,4.0
1045481,1045481,2014-08-11,43.0,DAIRY,495.0,1.0
1045482,1045482,2014-08-11,43.0,DELI,253.0,3.0
1045483,1045483,2014-08-11,43.0,EGGS,98.0,1.0
1045484,1045484,2014-08-11,43.0,FROZEN FOODS,26.483,0.0
1045485,1045485,2014-08-11,43.0,GROCERY I,3466.0,4.0
1045486,1045486,2014-08-11,43.0,GROCERY II,3.0,0.0
1045487,1045487,2014-08-11,43.0,HARDWARE,1.0,0.0
1045488,1045488,2014-08-11,43.0,HOME AND KITCHEN I,0.0,0.0
1045489,1045489,2014-08-11,43.0,HOME AND KITCHEN II,0.0,0.0
1045490,1045490,2014-08-11,43.0,HOME APPLIANCES,1.0,0.0
1045491,1045491,2014-08-11,43.0,HOME CARE,0.0,0.0
1045492,1045492,2014-08-11,43.0,LADIESWEAR,0.0,0.0
1045493,1045493,2014-08-11,43.0,LAWN AND GARDEN,0.0,0.0
1045494,1045494,2014-08-11,43.0,LINGERIE,8.0,0.0
1045495,"1045495,2014-08-11,43,""LIQUOR,WINE,BEER"",11.0,0",,,,,
1045496,1045496,2014-08-11,43.0,MAGAZINES,0.0,0.0
1045497,1045497,2014-08-11,43.0,MEATS,142.778,0.0
1045498,1045498,2014-08-11,43.0,PERSONAL CARE,195.0,0.0
1045499,1045499,2014-08-11,43.0,PET SUPPLIES,0.0,0.0
1045500,1045500,2014-08-11,43.0,PLAYERS AND ELECTRONICS,0.0,0.0
1045501,1045501,2014-08-11,43.0,POULTRY,123.027,0.0
1045502,1045502,2014-08-11,43.0,PREPARED FOODS,104.0,0.0
1045503,1045503,2014-08-11,43.0,PRODUCE,0.0,0.0
1045504,1045504,2014-08-11,43.0,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
1045505,1045505,2014-08-11,43.0,SEAFOOD,0.0,0.0
1045506,1045506,2014-08-11,44.0,AUTOMOTIVE,19.0,0.0
1045507,1045507,2014-08-11,44.0,BABY CARE,0.0,0.0
1045508,1045508,2014-08-11,44.0,BEAUTY,2.0,0.0
1045509,1045509,2014-08-11,44.0,BEVERAGES,4211.0,3.0
1045510,1045510,2014-08-11,44.0,BOOKS,0.0,0.0
1045511,1045511,2014-08-11,44.0,BREAD/BAKERY,1269.343,1.0
1045512,1045512,2014-08-11,44.0,CELEBRATION,0.0,0.0
1045513,1045513,2014-08-11,44.0,CLEANING,2304.0,3.0
1045514,1045514,2014-08-11,44.0,DAIRY,2279.0,0.0
1045515,1045515,2014-08-11,44.0,DELI,504.737,0.0
1045516,1045516,2014-08-11,44.0,EGGS,686.0,0.0
1045517,1045517,2014-08-11,44.0,FROZEN FOODS,398.0,1.0
1045518,1045518,2014-08-11,44.0,GROCERY I,8140.0,14.0
1045519,1045519,2014-08-11,44.0,GROCERY II,69.0,0.0
1045520,1045520,2014-08-11,44.0,HARDWARE,1.0,0.0
1045521,1045521,2014-08-11,44.0,HOME AND KITCHEN I,0.0,0.0
1045522,1045522,2014-08-11,44.0,HOME AND KITCHEN II,0.0,0.0
1045523,1045523,2014-08-11,44.0,HOME APPLIANCES,0.0,0.0
1045524,1045524,2014-08-11,44.0,HOME CARE,0.0,0.0
